# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  240,20190201,    9
  240,20190202,   23
  240,20190203,   18
  240,20190204,   20
  240,20190205,   44
  240,20190206,   52
  240,20190207,   76
  240,20190208,   79
  240,20190209,   84
  240,20190210,   61
  240,20190211,   49
  240,20190212,   58
  240,20190213,   62
  240,20190214,   51
  240,20190215,   71
  240,20190216,   64
  240,20190217,   73
  240,20190218,   79
  240,20190219,   72
  240,20190220,   76
  240,20190221,   78
  240,20190222,   89
  240,20190223,   75
  240,20190224,   70
